,Product Name,Brand,Ram,Storage,Battery,Screen_size,Rear_Camera,Front_Camera,Rating,Rating_Category,Rating_Count,Review_Count,Total_Engagements,Offer,Price,Price_Range
18,POCO C75 5G,POCO,4,128 ,5160,6.88,50MP Rear Camera,5MP,4.3,Very Good,70650,3673,74323,26,8499,<10K
19,POCO C61,POCO,6,128 ,5000,6.71,8MP Rear Camera,5MP,4.3,Very Good,10308,346,10654,15,8499,<10K
20,realme C61,realme,4,128 ,5000,6.745,32MP Rear Camera,5MP,4.4,Very Good,8684,303,8987,15,8499,<10K
21,POCO C75 5G,POCO,4,128 ,5160,6.88,50MP Rear Camera,5MP,4.3,Very Good,70650,3673,74323,26,8499,<10K
22,POCO M7 5G  - Locked,POCO,6,128 ,5160,6.88,50MP Rear Camera,8MP,4.1,Very Good,20876,1180,22056,32,8799,<10K
23,POCO M7 5G  - Locked,POCO,6,128 ,5160,6.88,50MP Rear Camera,8MP,4.1,Very Good,20876,1180,22056,32,8799,<10K
24,POCO M7 5G,POCO,6,128 ,5160,6.88,50MP Rear Camera,8MP,4.1,Very Good,20876,1180,22056,32,8799,<10K
25,REDMI 13C,REDMI,4,128 ,5000,6.74,50MP Rear Camera,8MP,4.3,Very Good,84604,3660,88264,25,8888,<10K
26,REDMI 13C,REDMI,4,128 ,5000,6.74,50MP Rear Camera,8MP,4.3,Very Good,84604,3660,88264,25,8999,<10K
27,realme C63,realme,4,128 ,5000,6.745,50MP Rear Camera,8MP,4.3,Very Good,11287,565,11852,18,8999,<10K
28,Infinix SMART 8,Infinix,8,128 ,5000,6.6,50MP + AI Lens,8MP,4.3,Very Good,11408,640,12048,18,8999,<10K
29,Samsung Galaxy A06 5G,Samsung,4,64 ,5000,6.7,50MP + 50MP,2MP + 2MP Dual,4.2,Very Good,338,47,385,33,9282,<10K
30,LAVA Blaze 5G,LAVA,6,128 ,5000,6.5,50MP + 2MP,8MP,4.0,Good,751,64,815,43,9299,<10K
31,POCO M7 5G,POCO,6,128 ,5160,6.88,50MP Rear Camera,8MP,4.1,Very Good,20876,1180,22056,26,9499,<10K
